Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
nl Ajax,19,26.4,53.2,6,66,540,6.0,11,9,20,10,1,1,15,1,8.3,7.5,6.3,13.8,80,234,1.83,1.5,3.33,1.67,3.17,1.39,1.04,2.43,1.26,2.3
es Atlético Madrid,22,28.6,56.5,6,66,540,6.0,4,3,7,4,0,2,13,0,9.5,7.8,5.3,13.2,111,286,0.67,0.5,1.17,0.67,1.17,1.59,0.88,2.47,1.31,2.19
es Barcelona,26,26.4,64.8,6,66,540,6.0,12,10,22,12,0,0,10,0,9.9,9.9,8.2,18.1,167,358,2.0,1.67,3.67,2.0,3.67,1.65,1.36,3.01,1.65,3.01
de Bayern Munich,24,26.6,56.1,10,110,900,10.0,21,19,40,20,1,1,20,1,19.4,18.6,15.5,34.1,249,541,2.1,1.9,4.0,2.0,3.9,1.94,1.55,3.49,1.86,3.41
pt Benfica,24,26.0,52.9,10,110,900,10.0,25,16,41,20,5,5,19,0,19.0,15.1,12.0,27.2,187,455,2.5,1.6,4.1,2.0,3.6,1.9,1.2,3.1,1.51,2.72
sct Celtic,22,26.0,44.2,6,66,540,6.0,3,1,4,3,0,1,7,0,9.2,8.4,6.6,14.9,98,300,0.5,0.17,0.67,0.5,0.67,1.53,1.09,2.62,1.4,2.49
eng Chelsea,26,26.9,57.3,10,110,900,10.0,12,7,19,10,2,2,25,1,16.2,14.6,11.8,26.4,211,512,1.2,0.7,1.9,1.0,1.7,1.62,1.18,2.8,1.46,2.64
be Club Brugge,25,26.3,45.6,8,88,720,8.0,8,7,15,7,1,2,27,1,8.0,6.4,5.2,11.7,109,239,1.0,0.87,1.87,0.87,1.75,1.0,0.65,1.65,0.8,1.46
hr Dinamo Zagreb,20,26.9,46.8,6,66,540,6.0,4,2,6,4,0,0,13,0,4.2,4.2,3.2,7.4,107,194,0.67,0.33,1.0,0.67,1.0,0.7,0.54,1.24,0.7,1.24
