Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
de Dortmund,26,26.0,47.9,8,88,720,8.0,11,10,21,11,0,0,17,0,10.5,10.5,8.8,19.3,159,300,1.37,1.25,2.62,1.37,2.62,1.31,1.1,2.41,1.31,2.41
de Eint Frankfurt,22,26.1,43.3,8,88,720,8.0,7,5,12,6,1,1,18,2,8.0,7.3,5.5,12.8,140,258,0.87,0.62,1.5,0.75,1.37,1.01,0.69,1.69,0.91,1.59
dk FC Copenhagen,25,24.6,37.7,6,66,540,6.0,1,1,2,1,0,0,12,1,4.8,4.8,3.5,8.3,73,142,0.17,0.17,0.33,0.17,0.33,0.8,0.59,1.39,0.8,1.39
it Inter,22,28.5,45.6,13,143,1170,13.0,19,17,36,18,1,1,27,0,17.9,17.5,14.3,31.8,204,440,1.46,1.31,2.77,1.38,2.69,1.38,1.1,2.48,1.34,2.45
it Juventus,26,28.3,48.3,6,66,540,6.0,9,8,17,9,0,0,14,0,8.6,8.6,7.0,15.6,120,277,1.5,1.33,2.83,1.5,2.83,1.43,1.17,2.6,1.43,2.6
de Leverkusen,20,24.8,51.3,6,66,540,6.0,4,4,8,4,0,2,19,1,9.0,7.4,6.3,13.7,138,260,0.67,0.67,1.33,0.67,1.33,1.5,1.05,2.55,1.24,2.29
eng Liverpool,25,27.5,54.9,8,88,720,8.0,19,15,34,18,1,1,10,0,14.7,13.9,10.8,24.7,150,407,2.37,1.87,4.25,2.25,4.12,1.84,1.34,3.18,1.74,3.09
il Maccabi Haifa,20,28.1,43.3,6,66,540,6.0,7,6,13,6,1,1,14,0,6.4,5.6,5.2,10.7,107,213,1.17,1.0,2.17,1.0,2.0,1.06,0.86,1.92,0.93,1.79
eng Manchester City,23,27.1,59.8,13,143,1170,13.0,31,23,54,29,2,5,21,1,26.5,22.6,17.8,40.5,332,644,2.38,1.77,4.15,2.23,4.0,2.04,1.37,3.41,1.74,3.11
fr Marseille,19,27.0,59.2,6,66,540,6.0,8,6,14,7,1,1,11,1,8.6,7.9,5.3,13.2,129,324,1.33,1.0,2.33,1.17,2.17,1.44,0.88,2.32,1.31,2.19
it Milan,23,26.3,48.0,12,132,1080,12.0,14,9,23,12,2,3,28,1,16.5,14.1,11.3,25.4,217,378,1.17,0.75,1.92,1.0,1.75,1.38,0.94,2.31,1.18,2.12
it Napoli,22,26.4,56.4,10,110,900,10.0,26,20,46,22,4,8,20,1,25.2,19.1,15.7,34.8,260,419,2.6,2.0,4.6,2.2,4.2,2.52,1.57,4.09,1.91,3.48
fr Paris S-G,21,27.5,56.8,8,88,720,8.0,15,12,27,14,1,1,14,0,10.8,10.0,7.1,17.1,184,352,1.87,1.5,3.38,1.75,3.25,1.35,0.89,2.24,1.25,2.14
pt Porto,24,26.8,47.5,8,88,720,8.0,12,7,19,9,3,3,23,3,15.2,12.9,10.6,23.5,144,249,1.5,0.87,2.37,1.13,2.0,1.9,1.33,3.23,1.61,2.94
sct Rangers,22,28.3,38.5,6,66,540,6.0,2,1,3,1,1,1,10,1,4.9,4.1,2.7,6.8,62,139,0.33,0.17,0.5,0.17,0.33,0.82,0.44,1.26,0.68,1.13
de RB Leipzig,22,26.1,50.0,8,88,720,8.0,13,12,25,13,0,0,8,0,11.7,11.7,10.2,21.8,126,336,1.62,1.5,3.12,1.62,3.12,1.46,1.27,2.73,1.46,2.73
at RB Salzburg,19,22.5,40.0,6,66,540,6.0,5,3,8,4,1,1,11,0,8.3,7.5,5.9,13.4,86,171,0.83,0.5,1.33,0.67,1.17,1.38,0.98,2.36,1.25,2.23
es Real Madrid,22,27.8,53.7,12,132,1080,12.0,26,21,47,23,3,3,14,0,22.3,20.5,17.2,37.7,284,494,2.17,1.75,3.92,1.92,3.67,1.85,1.43,3.28,1.71,3.14
es Sevilla,24,28.8,50.7,6,66,540,6.0,6,5,11,6,0,0,12,0,5.4,5.4,4.0,9.4,74,233,1.0,0.83,1.83,1.0,1.83,0.9,0.67,1.57,0.9,1.57
ua Shakhtar,20,24.3,42.3,6,66,540,6.0,8,7,15,8,0,0,16,0,3.7,3.7,3.0,6.8,104,140,1.33,1.17,2.5,1.33,2.5,0.62,0.5,1.13,0.62,1.13
pt Sporting CP,25,25.3,45.3,6,66,540,6.0,8,5,13,8,0,0,17,3,3.8,3.8,3.0,6.7,78,139,1.33,0.83,2.17,1.33,2.17,0.63,0.5,1.12,0.63,1.12
eng Tottenham,25,27.8,50.6,8,88,720,8.0,8,7,15,7,1,2,22,1,10.0,8.4,7.5,15.9,152,355,1.0,0.87,1.87,0.87,1.75,1.25,0.94,2.19,1.05,1.99
cz Viktoria Plzeň,22,28.1,29.5,6,66,540,6.0,5,4,9,4,1,1,12,1,5.5,4.8,3.5,8.3,69,127,0.83,0.67,1.5,0.67,1.33,0.92,0.59,1.51,0.79,1.38
