Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
eng Arsenal,24,25.8,50.9,14,154,1260,14.0,30,18,48,28,2,5,27,0,27.0,23.0,18.1,41.1,255,535,2.14,1.29,3.43,2.0,3.29,1.93,1.29,3.22,1.65,2.94
eng Aston Villa,25,27.1,47.3,12,132,1080,12.0,22,18,40,21,1,2,19,0,18.8,17.2,14.9,32.1,173,397,1.83,1.5,3.33,1.75,3.25,1.57,1.24,2.81,1.44,2.68
it Atalanta,24,27.7,53.3,10,110,900,10.0,22,19,41,21,1,3,19,1,24.5,22.0,18.9,40.9,278,517,2.2,1.9,4.1,2.1,4.0,2.45,1.89,4.34,2.2,4.09
es Atlético Madrid,23,28.5,47.4,10,110,930,10.3,22,17,39,22,0,0,18,1,14.5,14.5,12.1,26.7,210,419,2.13,1.65,3.77,2.13,3.77,1.41,1.17,2.58,1.41,2.58
es Barcelona,27,25.1,61.3,14,154,1290,14.3,40,30,70,37,3,3,14,2,32.2,29.9,23.9,53.8,290,744,2.79,2.09,4.88,2.58,4.67,2.25,1.67,3.92,2.08,3.75
de Bayern Munich,27,27.7,64.7,14,154,1260,14.0,31,16,47,26,5,5,22,0,33.6,30.0,21.6,51.6,376,892,2.21,1.14,3.36,1.86,3.0,2.4,1.54,3.94,2.14,3.69
pt Benfica,23,25.8,44.7,12,132,1080,12.0,20,9,29,16,4,4,28,1,23.6,20.5,13.7,34.2,207,390,1.67,0.75,2.42,1.33,2.08,1.97,1.14,3.11,1.71,2.85
it Bologna,24,26.0,49.3,8,88,720,8.0,4,3,7,4,0,0,28,0,8.1,8.1,5.8,13.9,131,269,0.5,0.37,0.87,0.5,0.87,1.01,0.73,1.74,1.01,1.74
fr Brest,23,28.0,41.8,10,110,900,10.0,9,3,12,9,0,0,20,0,11.4,11.4,8.3,19.7,135,270,0.9,0.3,1.2,0.9,1.2,1.14,0.83,1.97,1.14,1.97
sct Celtic,24,27.1,50.9,10,110,900,10.0,14,10,24,13,1,2,10,1,14.5,13.0,10.1,23.1,147,337,1.4,1.0,2.4,1.3,2.3,1.45,1.01,2.46,1.3,2.31
be Club Brugge,21,25.5,43.8,12,132,1080,12.0,11,7,18,9,2,2,19,2,11.5,9.9,7.9,17.8,143,351,0.92,0.58,1.5,0.75,1.33,0.96,0.66,1.62,0.83,1.49
hr Dinamo Zagreb,25,27.3,37.9,8,88,720,8.0,12,10,22,12,0,0,19,0,7.0,7.0,5.2,12.2,120,186,1.5,1.25,2.75,1.5,2.75,0.88,0.65,1.53,0.88,1.53
de Dortmund,25,26.5,52.0,14,154,1260,14.0,31,18,49,24,7,8,24,0,27.8,21.4,18.0,39.5,259,560,2.21,1.29,3.5,1.71,3.0,1.98,1.29,3.27,1.53,2.82
nl Feyenoord,29,24.8,42.5,12,132,1080,12.0,19,12,31,17,2,3,18,2,13.3,10.9,8.4,19.3,184,377,1.58,1.0,2.58,1.42,2.42,1.11,0.7,1.81,0.91,1.61
es Girona,26,27.4,50.9,8,88,720,8.0,5,3,8,5,0,2,25,1,9.6,8.0,6.9,14.9,133,284,0.62,0.37,1.0,0.62,1.0,1.19,0.86,2.06,0.99,1.86
it Inter,25,29.5,47.0,15,165,1380,15.3,25,17,42,20,5,7,33,0,24.3,18.8,15.3,34.1,227,488,1.63,1.11,2.74,1.3,2.41,1.59,1.0,2.58,1.23,2.22
